50, 50
8, 0, 0
4, 1, 0
22, 2, 0
25, 3, 0
23, 4, 0
3, 5, 0
14, 6, 0
16, 7, 0
16, 8, 0
5, 9, 0
21, 10, 0
8, 11, 0
22, 12, 0
15, 13, 0
15, 14, 0
25, 15, 0
20, 16, 0
14, 17, 0
18, 18, 0
13, 19, 0
21, 20, 0
8, 21, 0
6, 22, 0
15, 23, 0
6, 24, 0
10, 25, 0
5, 26, 0
1, 27, 0
25, 28, 0
9, 29, 0
25, 30, 0
15, 31, 0
23, 32, 0
25, 33, 0
16, 34, 0
10, 35, 0
19, 36, 0
25, 37, 0
12, 38, 0
16, 39, 0
25, 40, 0
13, 41, 0
5, 42, 0
17, 43, 0
8, 44, 0
10, 45, 0
2, 46, 0
7, 47, 0
17, 48, 0
13, 49, 0
2, 0, 1
12, 1, 1
16, 2, 1
8, 3, 1
16, 4, 1
8, 5, 1
15, 6, 1
25, 7, 1
1, 8, 1
5, 9, 1
2, 10, 1
6, 11, 1
14, 12, 1
24, 13, 1
14, 14, 1
1, 15, 1
17, 16, 1
9, 17, 1
16, 18, 1
8, 19, 1
23, 20, 1
6, 21, 1
4, 22, 1
24, 23, 1
13, 24, 1
14, 25, 1
0, 26, 1
8, 27, 1
3, 28, 1
17, 29, 1
21, 30, 1
25, 31, 1
17, 32, 1
21, 33, 1
1, 34, 1
9, 35, 1
11, 36, 1
23, 37, 1
21, 38, 1
14, 39, 1
8, 40, 1
19, 41, 1
0, 42, 1
20, 43, 1
1, 44, 1
1, 45, 1
18, 46, 1
8, 47, 1
13, 48, 1
25, 49, 1
13, 0, 2
22, 1, 2
16, 2, 2
15, 3, 2
19, 4, 2
11, 5, 2
23, 6, 2
10, 7, 2
3, 8, 2
20, 9, 2
25, 10, 2
2, 11, 2
5, 12, 2
12, 13, 2
13, 14, 2
1, 15, 2
9, 16, 2
13, 17, 2
2, 18, 2
24, 19, 2
6, 20, 2
15, 21, 2
2, 22, 2
21, 23, 2
22, 24, 2
25, 25, 2
24, 26, 2
19, 27, 2
2, 28, 2
18, 29, 2
7, 30, 2
20, 31, 2
9, 32, 2
23, 33, 2
13, 34, 2
22, 35, 2
20, 36, 2
17, 37, 2
16, 38, 2
23, 39, 2
17, 40, 2
16, 41, 2
16, 42, 2
13, 43, 2
21, 44, 2
1, 45, 2
13, 46, 2
21, 47, 2
11, 48, 2
24, 49, 2
12, 0, 3
21, 1, 3
24, 2, 3
19, 3, 3
11, 4, 3
10, 5, 3
10, 6, 3
18, 7, 3
0, 8, 3
19, 9, 3
13, 10, 3
0, 11, 3
24, 12, 3
12, 13, 3
14, 14, 3
21, 15, 3
16, 16, 3
19, 17, 3
19, 18, 3
2, 19, 3
15, 20, 3
16, 21, 3
23, 22, 3
0, 23, 3
11, 24, 3
9, 25, 3
2, 26, 3
12, 27, 3
5, 28, 3
24, 29, 3
15, 30, 3
1, 31, 3
10, 32, 3
8, 33, 3
18, 34, 3
20, 35, 3
13, 36, 3
20, 37, 3
21, 38, 3
20, 39, 3
2, 40, 3
11, 41, 3
16, 42, 3
2, 43, 3
3, 44, 3
24, 45, 3
18, 46, 3
3, 47, 3
25, 48, 3
9, 49, 3
25, 0, 4
12, 1, 4
0, 2, 4
16, 3, 4
8, 4, 4
3, 5, 4
3, 6, 4
21, 7, 4
0, 8, 4
11, 9, 4
13, 10, 4
18, 11, 4
9, 12, 4
22, 13, 4
11, 14, 4
21, 15, 4
24, 16, 4
9, 17, 4
19, 18, 4
13, 19, 4
9, 20, 4
23, 21, 4
14, 22, 4
20, 23, 4
6, 24, 4
17, 25, 4
15, 26, 4
22, 27, 4
12, 28, 4
7, 29, 4
25, 30, 4
25, 31, 4
18, 32, 4
9, 33, 4
11, 34, 4
22, 35, 4
23, 36, 4
22, 37, 4
1, 38, 4
4, 39, 4
5, 40, 4
16, 41, 4
5, 42, 4
3, 43, 4
15, 44, 4
17, 45, 4
22, 46, 4
16, 47, 4
0, 48, 4
4, 49, 4
8, 0, 5
12, 1, 5
10, 2, 5
14, 3, 5
6, 4, 5
25, 5, 5
22, 6, 5
5, 7, 5
2, 8, 5
16, 9, 5
8, 10, 5
20, 11, 5
11, 12, 5
12, 13, 5
16, 14, 5
6, 15, 5
25, 16, 5
2, 17, 5
18, 18, 5
14, 19, 5
25, 20, 5
15, 21, 5
9, 22, 5
5, 23, 5
10, 24, 5
11, 25, 5
16, 26, 5
0, 27, 5
11, 28, 5
6, 29, 5
0, 30, 5
3, 31, 5
15, 32, 5
23, 33, 5
2, 34, 5
7, 35, 5
3, 36, 5
13, 37, 5
22, 38, 5
6, 39, 5
4, 40, 5
6, 41, 5
18, 42, 5
24, 43, 5
22, 44, 5
9, 45, 5
7, 46, 5
21, 47, 5
16, 48, 5
7, 49, 5
14, 0, 6
9, 1, 6
18, 2, 6
14, 3, 6
14, 4, 6
25, 5, 6
7, 6, 6
11, 7, 6
7, 8, 6
12, 9, 6
13, 10, 6
3, 11, 6
4, 12, 6
25, 13, 6
13, 14, 6
25, 15, 6
8, 16, 6
21, 17, 6
22, 18, 6
10, 19, 6
16, 20, 6
18, 21, 6
13, 22, 6
21, 23, 6
19, 24, 6
9, 25, 6
19, 26, 6
11, 27, 6
24, 28, 6
9, 29, 6
3, 30, 6
6, 31, 6
23, 32, 6
8, 33, 6
25, 34, 6
20, 35, 6
17, 36, 6
19, 37, 6
6, 38, 6
5, 39, 6
5, 40, 6
10, 41, 6
21, 42, 6
23, 43, 6
22, 44, 6
21, 45, 6
4, 46, 6
20, 47, 6
7, 48, 6
8, 49, 6
20, 0, 7
10, 1, 7
11, 2, 7
24, 3, 7
15, 4, 7
13, 5, 7
24, 6, 7
20, 7, 7
6, 8, 7
24, 9, 7
8, 10, 7
0, 11, 7
13, 12, 7
3, 13, 7
10, 14, 7
9, 15, 7
12, 16, 7
0, 17, 7
21, 18, 7
5, 19, 7
5, 20, 7
22, 21, 7
6, 22, 7
12, 23, 7
23, 24, 7
20, 25, 7
24, 26, 7
22, 27, 7
13, 28, 7
17, 29, 7
10, 30, 7
20, 31, 7
10, 32, 7
16, 33, 7
24, 34, 7
17, 35, 7
3, 36, 7
19, 37, 7
24, 38, 7
11, 39, 7
21, 40, 7
2, 41, 7
1, 42, 7
18, 43, 7
19, 44, 7
3, 45, 7
9, 46, 7
16, 47, 7
22, 48, 7
21, 49, 7
12, 0, 8
9, 1, 8
24, 2, 8
6, 3, 8
20, 4, 8
22, 5, 8
1, 6, 8
12, 7, 8
14, 8, 8
22, 9, 8
14, 10, 8
9, 11, 8
18, 12, 8
21, 13, 8
23, 14, 8
25, 15, 8
11, 16, 8
5, 17, 8
9, 18, 8
6, 19, 8
5, 20, 8
23, 21, 8
25, 22, 8
22, 23, 8
4, 24, 8
16, 25, 8
21, 26, 8
25, 27, 8
10, 28, 8
9, 29, 8
8, 30, 8
19, 31, 8
11, 32, 8
18, 33, 8
20, 34, 8
22, 35, 8
3, 36, 8
22, 37, 8
7, 38, 8
25, 39, 8
23, 40, 8
23, 41, 8
16, 42, 8
18, 43, 8
4, 44, 8
25, 45, 8
22, 46, 8
20, 47, 8
0, 48, 8
12, 49, 8
11, 0, 9
8, 1, 9
18, 2, 9
6, 3, 9
7, 4, 9
21, 5, 9
17, 6, 9
6, 7, 9
1, 8, 9
4, 9, 9
22, 10, 9
7, 11, 9
17, 12, 9
3, 13, 9
14, 14, 9
10, 15, 9
7, 16, 9
19, 17, 9
8, 18, 9
11, 19, 9
16, 20, 9
13, 21, 9
21, 22, 9
9, 23, 9
23, 24, 9
15, 25, 9
